"INT/EXT";"CODE FOURNISSEUR";"CODE COLLECTION";"CODE COULEUR";"CATEGORIE";"DIMENSION";"COULEUR";"REF1";"REF2";"DIMENSION2";"PRIX PUBLIC TTC";"PRIX PROMO TTC";"FOURNISSEUR";"COLLECTION";"COLLISAGE";"UNITE";"FINITION"
"INT ";100;"B";1;" CARRELAGE ";3060;"IVOIRE";"MC";"AE";3060;" 48 € ";" 34 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"EXT";100;"B";1;" CARRELAGE ";3060;"IVOIRE";"MC";"AE";3060;" 48 € ";" 34 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"INT ";100;"B";1;" CARRELAGE ";6060;"IVOIRE";"MC";"AE";6060;" 54 € ";" 38 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"EXT";100;"B";1;" CARRELAGE ";6060;"IVOIRE";"MC";"AE";6060;" 54 € ";" 38 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"INT ";100;"B";1;" CARRELAGE ";8080;"IVOIRE";"MC";"AE";8080;" 60 € ";" 42 € ";"MARCA CORONA";"ARKISTONE";1,28;"m²";0
"INT ";100;"B";1;" CARRELAGE ";60120;"IVOIRE";"MC";"AE";60120;" 60 € ";" 42 € ";"MARCA CORONA";"ARKISTONE";1,44;"m²";0
"INT ";100;"B";1;" CARRELAGE ";120120;"IVOIRE";"MC";"AE";120120;" 73 € ";" 51 € ";"MARCA CORONA";"ARKISTONE";2,88;"m²";0
"INT ";100;"B";1;" PLINTHE ";780;"IVOIRE";"MC";"AE";780;" 27 € ";" 19 € ";"MARCA CORONA";"ARKISTONE";6,4;"ml";0
"INT ";100;"B";1;" PLINTHE ";760;"IVOIRE";"MC";"AE";760;" 25 € ";" 17 € ";"MARCA CORONA";"ARKISTONE";7,2;"ml";0
"INT ";100;"B";2;" CARRELAGE ";3060;"LIGHT";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"EXT";100;"B";2;" CARRELAGE ";3060;"LIGHT";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"INT ";100;"B";2;" CARRELAGE ";6060;"LIGHT";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"EXT";100;"B";2;" CARRELAGE ";6060;"LIGHT";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"INT ";100;"B";2;" CARRELAGE ";8080;"LIGHT";"MC";"AE";8080;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,28;"m²";0
"INT ";100;"B";2;" CARRELAGE ";60120;"LIGHT";"MC";"AE";60120;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,44;"m²";0
"INT ";100;"B";2;" CARRELAGE ";120120;"LIGHT";"MC";"AE";120120;" 73 € ";" 73 € ";"MARCA CORONA";"ARKISTONE";2,88;"m²";0
"INT ";100;"B";2;" PLINTHE ";780;"LIGHT";"MC";"AE";780;" 27 € ";" 19 € ";"MARCA CORONA";"ARKISTONE";6,4;"ml";0
"INT ";100;"B";2;" PLINTHE ";760;"LIGHT";"MC";"AE";760;" 25 € ";" 17 € ";"MARCA CORONA";"ARKISTONE";7,2;"ml";0
"INT ";100;"B";3;" CARRELAGE ";3060;"GREIGE";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"EXT";100;"B";3;" CARRELAGE ";3060;"GREIGE";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"INT ";100;"B";3;" CARRELAGE ";6060;"GREIGE";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"EXT";100;"B";3;" CARRELAGE ";6060;"GREIGE";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"INT ";100;"B";3;" CARRELAGE ";8080;"GREIGE";"MC";"AE";8080;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,28;"m²";0
"INT ";100;"B";3;" CARRELAGE ";60120;"GREIGE";"MC";"AE";60120;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,44;"m²";0
"INT ";100;"B";3;" CARRELAGE ";120120;"GREIGE";"MC";"AE";120120;" 73 € ";" 73 € ";"MARCA CORONA";"ARKISTONE";2,88;"m²";0
"INT ";100;"B";3;" PLINTHE ";780;"GREIGE";"MC";"AE";780;" 27 € ";" 19 € ";"MARCA CORONA";"ARKISTONE";6,4;"ml";0
"INT ";100;"B";3;" PLINTHE ";760;"GREIGE";"MC";"AE";760;" 25 € ";" 17 € ";"MARCA CORONA";"ARKISTONE";7,2;"ml";0
"INT ";100;"B";4;" CARRELAGE ";3060;"SILVER";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"EXT";100;"B";4;" CARRELAGE ";3060;"SILVER";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"INT ";100;"B";4;" CARRELAGE ";6060;"SILVER";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"EXT";100;"B";4;" CARRELAGE ";6060;"SILVER";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"INT ";100;"B";4;" CARRELAGE ";8080;"SILVER";"MC";"AE";8080;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,28;"m²";0
"INT ";100;"B";4;" CARRELAGE ";60120;"SILVER";"MC";"AE";60120;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,44;"m²";0
"INT ";100;"B";4;" CARRELAGE ";120120;"SILVER";"MC";"AE";120120;" 73 € ";" 73 € ";"MARCA CORONA";"ARKISTONE";2,88;"m²";0
"INT ";100;"B";4;" PLINTHE ";780;"SILVER";"MC";"AE";780;" 27 € ";" 19 € ";"MARCA CORONA";"ARKISTONE";6,4;"ml";0
"INT ";100;"B";4;" PLINTHE ";760;"SILVER";"MC";"AE";760;" 25 € ";" 17 € ";"MARCA CORONA";"ARKISTONE";7,2;"ml";0
"INT ";100;"B";5;" CARRELAGE ";3060;"DARK";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"EXT";100;"B";5;" CARRELAGE ";3060;"DARK";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"INT ";100;"B";5;" CARRELAGE ";6060;"DARK";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"EXT";100;"B";5;" CARRELAGE ";6060;"DARK";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"INT ";100;"B";5;" CARRELAGE ";8080;"DARK";"MC";"AE";8080;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,28;"m²";0
"INT ";100;"B";5;" CARRELAGE ";60120;"DARK";"MC";"AE";60120;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,44;"m²";0
"INT ";100;"B";5;" CARRELAGE ";120120;"DARK";"MC";"AE";120120;" 73 € ";" 73 € ";"MARCA CORONA";"ARKISTONE";2,88;"m²";0
"INT ";100;"B";5;" PLINTHE ";780;"DARK";"MC";"AE";780;" 27 € ";" 19 € ";"MARCA CORONA";"ARKISTONE";6,4;"ml";0
"INT ";100;"B";5;" PLINTHE ";760;"DARK";"MC";"AE";760;" 25 € ";" 17 € ";"MARCA CORONA";"ARKISTONE";7,2;"ml";0
"INT";100;"F";1;" CARRELAGE ";3060;"PERLA";"MC";"MFO";3060;" 48 € ";" 48 € ";"MARCA CORONA";"MULTIFORME";1,26;"m²";0
"INT";100;"F";1;" CARRELAGE ";6060;"PERLA";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"EXT";100;"F";1;" CARRELAGE ";6060;"PERLA";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"INT";100;"F";1;" CARRELAGE ";8080;"PERLA";"MC";"MFO";8080;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,28;"m²";0
"INT";100;"F";1;" CARRELAGE ";60120;"PERLA";"MC";"MFO";60120;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,44;"m²";0
"INT";100;"F";1;" CARRELAGE ";120120;"PERLA";"MC";"MFO";120120;" 73 € ";" 73 € ";"MARCA CORONA";"MULTIFORME";2,88;"m²";0
"INT";100;"F";2;" CARRELAGE ";3060;"MALTA";"MC";"MFO";3060;" 48 € ";" 48 € ";"MARCA CORONA";"MULTIFORME";1,26;"m²";0
"INT";100;"F";2;" CARRELAGE ";6060;"MALTA";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"EXT";100;"F";2;" CARRELAGE ";6060;"MALTA";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"INT";100;"F";2;" CARRELAGE ";8080;"MALTA";"MC";"MFO";8080;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,28;"m²";0
"INT";100;"F";2;" CARRELAGE ";60120;"MALTA";"MC";"MFO";60120;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,44;"m²";0
"INT";100;"F";2;" CARRELAGE ";120120;"MALTA";"MC";"MFO";120120;" 73 € ";" 73 € ";"MARCA CORONA";"MULTIFORME";2,88;"m²";0
"INT";100;"F";3;" CARRELAGE ";3060;"CARBONE";"MC";"MFO";3060;" 48 € ";" 34 € ";"MARCA CORONA";"MULTIFORME";1,26;"m²";0
"INT";100;"F";3;" CARRELAGE ";6060;"CARBONE";"MC";"MFO";6060;" 54 € ";" 38 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"EXT";100;"F";3;" CARRELAGE ";6060;"CARBONE";"MC";"MFO";6060;" 54 € ";" 38 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"INT";100;"F";3;" CARRELAGE ";8080;"CARBONE";"MC";"MFO";8080;" 60 € ";" 42 € ";"MARCA CORONA";"MULTIFORME";1,28;"m²";0
"INT";100;"F";3;" CARRELAGE ";60120;"CARBONE";"MC";"MFO";60120;" 60 € ";" 42 € ";"MARCA CORONA";"MULTIFORME";1,44;"m²";0
"INT";100;"F";3;" CARRELAGE ";120120;"CARBONE";"MC";"MFO";120120;" 73 € ";" 51 € ";"MARCA CORONA";"MULTIFORME";2,88;"m²";0
"INT";100;"F";4;" CARRELAGE ";3060;"CALCE";"MC";"MFO";3060;" 48 € ";" 48 € ";"MARCA CORONA";"MULTIFORME";1,26;"m²";0
"INT";100;"F";4;" CARRELAGE ";6060;"CALCE";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"EXT";100;"F";4;" CARRELAGE ";6060;"CALCE";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"INT";100;"F";4;" CARRELAGE ";8080;"CALCE";"MC";"MFO";8080;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,28;"m²";0
"INT";100;"F";4;" CARRELAGE ";60120;"CALCE";"MC";"MFO";60120;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,44;"m²";0
"INT";100;"F";4;" CARRELAGE ";120120;"CALCE";"MC";"MFO";120120;" 73 € ";" 73 € ";"MARCA CORONA";"MULTIFORME";2,88;"m²";0
"INT";100;"F";5;" CARRELAGE ";3060;"MICA";"MC";"MFO";3060;" 48 € ";" 48 € ";"MARCA CORONA";"MULTIFORME";1,26;"m²";0
"INT";100;"F";5;" CARRELAGE ";6060;"MICA";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"EXT";100;"F";5;" CARRELAGE ";6060;"MICA";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"INT";100;"F";5;" CARRELAGE ";8080;"MICA";"MC";"MFO";8080;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,28;"m²";0
"INT";100;"F";5;" CARRELAGE ";60120;"MICA";"MC";"MFO";60120;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,44;"m²";0
"INT";100;"F";5;" CARRELAGE ";120120;"MICA";"MC";"MFO";120120;" 73 € ";" 73 € ";"MARCA CORONA";"MULTIFORME";2,88;"m²";0
"INT";100;"G";1;" CARRELAGE ";3060;"CAL  ORA FINO";"MC";"SA";3060;" 48 € ";" 48 € ";"MARCA CORONA";"SCULTOREA";1,26;"m²";0
"INT";100;"G";1;" CARRELAGE ";3060;"CAL  ORA FINO";"MC";"SA";3060;" 84 € ";" 84 € ";"MARCA CORONA";"SCULTOREA";1,26;"m²";"poli"
"INT";100;"G";3;" CARRELAGE ";3060;"STAT VENA ARGENTO";"MC";"SA";3060;" 48 € ";" 48 € ";"MARCA CORONA";"SCULTOREA";1,26;"m²";0
